hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.item	Answer.target_property	Answer.target_frequency	Answer.target_position	Answer.distractor_position	Answer.familiarization_cond	Answer.participant_response_type_condition	Answer.participant_feature_count_condition	Answer.linguistic_framing_condition	Answer.target_filler_sequence_condition	Answer.question_type_condition	Answer.manip_check_target	Answer.manip_check_dist	Answer.name_check_correct	Answer.choice	Answer.choice_correct	Answer.money_allocated_to_foil	Answer.money_allocated_to_target	Answer.money_allocated_to_logical	Answer.Likert_value_foil	Answer.Likert_value_target	Answer.Likert_value_logical	Answer.about	Answer.comment	Answer.familiarization_present_in_study	Answer.choice_1	Answer.choice_2	Answer.choice_3	Answer.choice_4	Answer.choice_5	Answer.choice_6	Answer.choice_correct_1	Answer.choice_correct_2	Answer.choice_correct_3	Answer.choice_correct_4	Answer.choice_correct_5	Answer.choice_correct_6	Answer.item_1	Answer.item_2	Answer.item_3	Answer.item_4	Answer.item_5	Answer.item_6	Answer.target_prop_1	Answer.target_prop_2	Answer.target_prop_3	Answer.target_prop_4	Answer.target_prop_5	Answer.target_prop_6	Answer.target_position_1	Answer.target_position_2	Answer.target_position_3	Answer.target_position_4	Answer.target_position_5	Answer.target_position_6	Answer.distractor_prop_1	Answer.distractor_prop_2	Answer.distractor_prop_3	Answer.distractor_prop_4	Answer.distractor_prop_5	Answer.distractor_prop_6	Answer.distractor_position_1	Answer.distractor_position_2	Answer.distractor_position_3	Answer.distractor_position_4	Answer.distractor_position_5	Answer.distractor_position_6	Answer.sequence_condition
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		1	Approved	Wed Aug 13 08:48:47 PDT 2014	Tue Aug 12 16:08:08 PDT 2014	Tue Aug 12 16:08:47 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""friend"""	"""glasses"""	0	"""middle"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""Bob describing his friends using one word. """	""""""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""friend"""	"""friend"""	"""friend"""	"""null"""	"""null"""	"""null"""	"""glasses"""	"""mustache"""	"""hat"""	"""null"""	"""null"""	"""null"""	"""middle"""	"""left"""	"""right"""	"""null"""	"""null"""	"""null"""	"""hat"""	"""mustache"""	"""glasses"""	"""null"""	"""null"""	"""null"""	"""right"""	"""middle"""	"""left"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		2	Approved	Wed Aug 13 08:49:21 PDT 2014	Tue Aug 12 16:08:25 PDT 2014	Tue Aug 12 16:09:21 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""friend"""	"""glasses"""	0	"""right"""	"""left"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""no idea. About Bob of course. """	""""""	0	"""logical"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	false	true	true	"""null"""	"""null"""	"""null"""	"""friend"""	"""friend"""	"""friend"""	"""null"""	"""null"""	"""null"""	"""glasses"""	"""mustache"""	"""hat"""	"""null"""	"""null"""	"""null"""	"""right"""	"""left"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""mustache"""	"""hat"""	"""glasses"""	"""null"""	"""null"""	"""null"""	"""left"""	"""middle"""	"""right"""	"""null"""	"""null"""	"""null"""	"""1w2w0w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		3	Approved	Wed Aug 13 08:49:24 PDT 2014	Tue Aug 12 16:08:34 PDT 2014	Tue Aug 12 16:09:24 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""sundae"""	"""chocolate"""	0	"""left"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""Communication"""	""""""	0	"""target"""	"""logical"""	"""logical"""	"""null"""	"""null"""	"""null"""	true	false	false	"""null"""	"""null"""	"""null"""	"""sundae"""	"""sundae"""	"""sundae"""	"""null"""	"""null"""	"""null"""	"""chocolate"""	"""cherry"""	"""whipped cream"""	"""null"""	"""null"""	"""null"""	"""left"""	"""middle"""	"""right"""	"""null"""	"""null"""	"""null"""	"""whipped cream"""	"""cherry"""	"""chocolate"""	"""null"""	"""null"""	"""null"""	"""right"""	"""left"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		4	Approved	Wed Aug 13 08:49:24 PDT 2014	Tue Aug 12 16:08:19 PDT 2014	Tue Aug 12 16:09:24 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""sundae"""	"""chocolate"""	0	"""middle"""	"""left"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""The sundaes that bob eats."""	""""""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""sundae"""	"""sundae"""	"""sundae"""	"""null"""	"""null"""	"""null"""	"""chocolate"""	"""cherry"""	"""whipped cream"""	"""null"""	"""null"""	"""null"""	"""middle"""	"""right"""	"""left"""	"""null"""	"""null"""	"""null"""	"""whipped cream"""	"""cherry"""	"""chocolate"""	"""null"""	"""null"""	"""null"""	"""left"""	"""middle"""	"""right"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		5	Approved	Wed Aug 13 08:49:29 PDT 2014	Tue Aug 12 16:08:29 PDT 2014	Tue Aug 12 16:09:29 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""friend"""	"""hat"""	0	"""middle"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""matching word to picture"""	""""""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""friend"""	"""friend"""	"""friend"""	"""null"""	"""null"""	"""null"""	"""hat"""	"""mustache"""	"""glasses"""	"""null"""	"""null"""	"""null"""	"""middle"""	"""right"""	"""left"""	"""null"""	"""null"""	"""null"""	"""mustache"""	"""glasses"""	"""hat"""	"""null"""	"""null"""	"""null"""	"""right"""	"""left"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""1w2w0w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		6	Approved	Wed Aug 13 08:49:33 PDT 2014	Tue Aug 12 16:08:17 PDT 2014	Tue Aug 12 16:09:33 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""boat"""	"""motor"""	0	"""left"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""how we evaluate language based on context"""	""""""	0	"""logical"""	"""logical"""	"""logical"""	"""null"""	"""null"""	"""null"""	false	false	false	"""null"""	"""null"""	"""null"""	"""boat"""	"""boat"""	"""boat"""	"""null"""	"""null"""	"""null"""	"""motor"""	"""sail"""	"""cabin"""	"""null"""	"""null"""	"""null"""	"""left"""	"""middle"""	"""right"""	"""null"""	"""null"""	"""null"""	"""cabin"""	"""sail"""	"""motor"""	"""null"""	"""null"""	"""null"""	"""right"""	"""left"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		7	Approved	Wed Aug 13 08:49:33 PDT 2014	Tue Aug 12 16:08:47 PDT 2014	Tue Aug 12 16:09:33 PDT 2014	Tue Aug 12 16:47:56 PDT 2014					"""pizza"""	"""mushrooms"""	0	"""right"""	"""middle"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""Pizzas"""	""""""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""pizza"""	"""pizza"""	"""pizza"""	"""null"""	"""null"""	"""null"""	"""mushrooms"""	"""peppers"""	"""olives"""	"""null"""	"""null"""	"""null"""	"""right"""	"""middle"""	"""left"""	"""null"""	"""null"""	"""null"""	"""peppers"""	"""olives"""	"""mushrooms"""	"""null"""	"""null"""	"""null"""	"""middle"""	"""left"""	"""right"""	"""null"""	"""null"""	"""null"""	"""1w2w0w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		8	Approved	Wed Aug 13 08:49:44 PDT 2014	Tue Aug 12 16:08:54 PDT 2014	Tue Aug 12 16:09:44 PDT 2014	Tue Aug 12 16:47:57 PDT 2014					"""Christmas tree"""	"""star"""	0	"""right"""	"""left"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""communication"""	"""nope!"""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""Christmas tree"""	"""Christmas tree"""	"""Christmas tree"""	"""null"""	"""null"""	"""null"""	"""star"""	"""ornaments"""	"""lights"""	"""null"""	"""null"""	"""null"""	"""right"""	"""middle"""	"""left"""	"""null"""	"""null"""	"""null"""	"""lights"""	"""ornaments"""	"""star"""	"""null"""	"""null"""	"""null"""	"""left"""	"""right"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		9	Approved	Wed Aug 13 08:49:47 PDT 2014	Tue Aug 12 16:08:44 PDT 2014	Tue Aug 12 16:09:47 PDT 2014	Tue Aug 12 16:47:57 PDT 2014					"""boat"""	"""sail"""	0	"""middle"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""Figuring out which thing Bob is talking about based on one word clues (when the clue could describe more than one boat)"""	""""""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""boat"""	"""boat"""	"""boat"""	"""null"""	"""null"""	"""null"""	"""sail"""	"""motor"""	"""cabin"""	"""null"""	"""null"""	"""null"""	"""middle"""	"""left"""	"""right"""	"""null"""	"""null"""	"""null"""	"""cabin"""	"""motor"""	"""sail"""	"""null"""	"""null"""	"""null"""	"""right"""	"""middle"""	"""left"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J	3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX	What is he talking about? (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	experiment, psychology, game	$0.25	Tue Aug 12 16:07:58 PDT 2014	100	0	0	100	Reviewable	NotReviewed	1 scales	600	60000	Tue Aug 19 16:07:58 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2UJFOK5X84IOEFHMTRR9J		10	Approved	Wed Aug 13 08:49:48 PDT 2014	Tue Aug 12 16:08:48 PDT 2014	Tue Aug 12 16:09:48 PDT 2014	Tue Aug 12 16:47:57 PDT 2014					"""snowman"""	"""mittens"""	0	"""left"""	"""right"""	-1	0	0	1	0	0	-1	-1	"""TRUE"""	"""null"""	"""null"""	-1	-1	-1	-1	-1	-1	"""It was about identifying snowmen based on one-word descriptions."""	"""No."""	0	"""target"""	"""target"""	"""target"""	"""null"""	"""null"""	"""null"""	true	true	true	"""null"""	"""null"""	"""null"""	"""snowman"""	"""snowman"""	"""snowman"""	"""null"""	"""null"""	"""null"""	"""mittens"""	"""hat"""	"""scarf"""	"""null"""	"""null"""	"""null"""	"""left"""	"""middle"""	"""right"""	"""null"""	"""null"""	"""null"""	"""scarf"""	"""hat"""	"""mittens"""	"""null"""	"""null"""	"""null"""	"""right"""	"""left"""	"""middle"""	"""null"""	"""null"""	"""null"""	"""0w2w1w"""
