hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.item,Answer.target_property,Answer.target_frequency,Answer.target_position,Answer.distractor_position,Answer.familiarization_cond,Answer.participant_response_type_condition,Answer.participant_feature_count_condition,Answer.linguistic_framing_condition,Answer.target_filler_sequence_condition,Answer.question_type_condition,Answer.manip_check_target,Answer.manip_check_dist,Answer.name_check_correct,Answer.choice,Answer.choice_correct,Answer.money_allocated_to_foil,Answer.money_allocated_to_target,Answer.money_allocated_to_logical,Answer.Likert_value_foil,Answer.Likert_value_target,Answer.Likert_value_logical,Answer.about,Answer.comment,Answer.familiarization_present_in_study,Answer.choice_1,Answer.choice_2,Answer.choice_3,Answer.choice_4,Answer.choice_5,Answer.choice_6,Answer.choice_correct_1,Answer.choice_correct_2,Answer.choice_correct_3,Answer.choice_correct_4,Answer.choice_correct_5,Answer.choice_correct_6,Answer.item_1,Answer.item_2,Answer.item_3,Answer.item_4,Answer.item_5,Answer.item_6,Answer.target_prop_1,Answer.target_prop_2,Answer.target_prop_3,Answer.target_prop_4,Answer.target_prop_5,Answer.target_prop_6,Answer.target_position_1,Answer.target_position_2,Answer.target_position_3,Answer.target_position_4,Answer.target_position_5,Answer.target_position_6,Answer.distractor_prop_1,Answer.distractor_prop_2,Answer.distractor_prop_3,Answer.distractor_prop_4,Answer.distractor_prop_5,Answer.distractor_prop_6,Answer.distractor_position_1,Answer.distractor_position_2,Answer.distractor_position_3,Answer.distractor_position_4,Answer.distractor_position_5,Answer.distractor_position_6,Answer.sequence_condition
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,1,Approved,Tue Aug 05 09:03:12 PDT 2014,Mon Aug 04 16:21:40 PDT 2014,Mon Aug 04 16:23:12 PDT 2014,Mon Aug 04 16:54:09 PDT 2014,,,,,"""friend""","""mustache""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""words and pictures""","""thanks""",0,"""target""","""target""","""target""","""foil""","""target""","""target""",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,"""friend""","""friend""","""boat""","""boat""","""snowman""","""snowman""","""mustache""","""glasses""","""sail""","""cabin""","""hat""","""mittens""","""left""","""right""","""middle""","""left""","""left""","""middle""","""glasses""","""mustache""","""cabin""","""sail""","""mittens""","""hat""","""right""","""left""","""left""","""middle""","""middle""","""left""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,2,Approved,Tue Aug 05 09:03:19 PDT 2014,Mon Aug 04 16:22:33 PDT 2014,Mon Aug 04 16:23:19 PDT 2014,Mon Aug 04 16:54:09 PDT 2014,,,,,"""snowman""","""scarf""",0,"""left""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""communication""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""snowman""","""snowman""","""sundae""","""sundae""","""boat""","""boat""","""scarf""","""hat""","""chocolate""","""cherry""","""motor""","""cabin""","""left""","""middle""","""middle""","""left""","""middle""","""left""","""hat""","""scarf""","""cherry""","""chocolate""","""cabin""","""motor""","""middle""","""left""","""left""","""middle""","""left""","""middle""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,3,Approved,Tue Aug 05 09:03:24 PDT 2014,Mon Aug 04 16:22:01 PDT 2014,Mon Aug 04 16:23:24 PDT 2014,Mon Aug 04 16:54:09 PDT 2014,,,,,"""pizza""","""peppers""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""no idea""","""""",0,"""target""","""logical""","""target""","""logical""","""target""","""logical""",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"""pizza""","""pizza""","""Christmas tree""","""Christmas tree""","""boat""","""boat""","""peppers""","""mushrooms""","""star""","""ornaments""","""cabin""","""motor""","""middle""","""right""","""middle""","""right""","""right""","""middle""","""mushrooms""","""peppers""","""ornaments""","""star""","""motor""","""cabin""","""right""","""middle""","""right""","""middle""","""middle""","""right""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,4,Approved,Tue Aug 05 09:03:40 PDT 2014,Mon Aug 04 16:22:33 PDT 2014,Mon Aug 04 16:23:40 PDT 2014,Mon Aug 04 16:54:09 PDT 2014,,,,,"""Christmas tree""","""lights""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""What is Bob talking about""","""""",0,"""target""","""target""","""target""","""target""","""target""","""logical""",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"""Christmas tree""","""Christmas tree""","""boat""","""boat""","""sundae""","""sundae""","""lights""","""star""","""motor""","""cabin""","""whipped cream""","""chocolate""","""right""","""left""","""right""","""middle""","""middle""","""right""","""star""","""lights""","""cabin""","""motor""","""chocolate""","""whipped cream""","""left""","""right""","""middle""","""right""","""right""","""middle""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,5,Approved,Tue Aug 05 09:03:55 PDT 2014,Mon Aug 04 16:22:30 PDT 2014,Mon Aug 04 16:23:55 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""boat""","""sail""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""what bob sees""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""friend""","""friend""","""sundae""","""sundae""","""sail""","""cabin""","""glasses""","""hat""","""whipped cream""","""chocolate""","""right""","""left""","""right""","""middle""","""right""","""left""","""cabin""","""sail""","""hat""","""glasses""","""chocolate""","""whipped cream""","""left""","""right""","""middle""","""right""","""left""","""right""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,6,Approved,Tue Aug 05 09:04:34 PDT 2014,Mon Aug 04 16:23:02 PDT 2014,Mon Aug 04 16:24:34 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""boat""","""cabin""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Bob saying words and seeing which we thought he was talking about.""","""""",0,"""target""","""logical""","""target""","""target""","""target""","""target""",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""sundae""","""sundae""","""snowman""","""snowman""","""cabin""","""motor""","""cherry""","""whipped cream""","""hat""","""mittens""","""middle""","""right""","""right""","""left""","""left""","""middle""","""motor""","""cabin""","""whipped cream""","""cherry""","""mittens""","""hat""","""right""","""middle""","""left""","""right""","""middle""","""left""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,7,Approved,Tue Aug 05 09:04:46 PDT 2014,Mon Aug 04 16:23:25 PDT 2014,Mon Aug 04 16:24:46 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""boat""","""cabin""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Images""","""""",0,"""target""","""logical""","""target""","""target""","""target""","""logical""",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"""boat""","""boat""","""friend""","""friend""","""Christmas tree""","""Christmas tree""","""cabin""","""sail""","""glasses""","""mustache""","""ornaments""","""lights""","""middle""","""right""","""middle""","""right""","""right""","""left""","""sail""","""cabin""","""mustache""","""glasses""","""lights""","""ornaments""","""right""","""middle""","""right""","""middle""","""left""","""right""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,8,Approved,Tue Aug 05 09:04:51 PDT 2014,Mon Aug 04 16:22:59 PDT 2014,Mon Aug 04 16:24:51 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""boat""","""motor""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Figuring out what Bob is talking about based on a single word. ""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""friend""","""friend""","""snowman""","""snowman""","""motor""","""sail""","""mustache""","""hat""","""mittens""","""scarf""","""middle""","""right""","""left""","""right""","""right""","""middle""","""sail""","""motor""","""hat""","""mustache""","""scarf""","""mittens""","""right""","""middle""","""right""","""left""","""middle""","""right""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,9,Approved,Tue Aug 05 09:04:58 PDT 2014,Mon Aug 04 16:23:08 PDT 2014,Mon Aug 04 16:24:58 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""pizza""","""mushrooms""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Determining what someone is talking about.""","""Thank you for the survey!""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""pizza""","""pizza""","""sundae""","""sundae""","""friend""","""friend""","""mushrooms""","""olives""","""whipped cream""","""chocolate""","""mustache""","""hat""","""middle""","""right""","""right""","""middle""","""left""","""right""","""olives""","""mushrooms""","""chocolate""","""whipped cream""","""hat""","""mustache""","""right""","""middle""","""middle""","""right""","""right""","""left""","""(0b1b)x3"""
3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Mon Aug 04 16:21:24 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Mon Aug 11 16:21:24 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3HUR21WDDUPIDLEPEJ2QCDUWWBIXYF,,10,Approved,Tue Aug 05 09:05:29 PDT 2014,Mon Aug 04 16:24:19 PDT 2014,Mon Aug 04 16:25:29 PDT 2014,Mon Aug 04 16:54:10 PDT 2014,,,,,"""boat""","""cabin""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""language""","""""",0,"""target""","""logical""","""target""","""logical""","""target""","""logical""",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,"""boat""","""boat""","""Christmas tree""","""Christmas tree""","""pizza""","""pizza""","""cabin""","""sail""","""star""","""ornaments""","""mushrooms""","""peppers""","""right""","""middle""","""middle""","""right""","""middle""","""left""","""sail""","""cabin""","""ornaments""","""star""","""peppers""","""mushrooms""","""middle""","""right""","""right""","""middle""","""left""","""middle""","""(0b1b)x3"""
