hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.item,Answer.target_property,Answer.target_frequency,Answer.target_position,Answer.distractor_position,Answer.familiarization_cond,Answer.participant_response_type_condition,Answer.participant_feature_count_condition,Answer.linguistic_framing_condition,Answer.target_filler_sequence_condition,Answer.question_type_condition,Answer.manip_check_target,Answer.manip_check_dist,Answer.name_check_correct,Answer.choice,Answer.choice_correct,Answer.money_allocated_to_foil,Answer.money_allocated_to_target,Answer.money_allocated_to_logical,Answer.Likert_value_foil,Answer.Likert_value_target,Answer.Likert_value_logical,Answer.about,Answer.comment,Answer.familiarization_present_in_study,Answer.choice_1,Answer.choice_2,Answer.choice_3,Answer.choice_4,Answer.choice_5,Answer.choice_6,Answer.choice_correct_1,Answer.choice_correct_2,Answer.choice_correct_3,Answer.choice_correct_4,Answer.choice_correct_5,Answer.choice_correct_6,Answer.item_1,Answer.item_2,Answer.item_3,Answer.item_4,Answer.item_5,Answer.item_6,Answer.target_prop_1,Answer.target_prop_2,Answer.target_prop_3,Answer.target_prop_4,Answer.target_prop_5,Answer.target_prop_6,Answer.target_position_1,Answer.target_position_2,Answer.target_position_3,Answer.target_position_4,Answer.target_position_5,Answer.target_position_6,Answer.distractor_prop_1,Answer.distractor_prop_2,Answer.distractor_prop_3,Answer.distractor_prop_4,Answer.distractor_prop_5,Answer.distractor_prop_6,Answer.distractor_position_1,Answer.distractor_position_2,Answer.distractor_position_3,Answer.distractor_position_4,Answer.distractor_position_5,Answer.distractor_position_6,Answer.sequence_condition
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,1,Approved,Thu Jul 24 03:04:21 PDT 2014,Wed Jul 23 10:23:12 PDT 2014,Wed Jul 23 10:24:21 PDT 2014,Wed Jul 23 11:28:28 PDT 2014,,,,,"""snowman""","""mittens""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""unsure""","""""",0,"""logical""","""target""","""logical""","""null""","""null""","""null""",FALSE,TRUE,FALSE,"""null""","""null""","""null""","""snowman""","""snowman""","""sundae""","""null""","""null""","""null""","""mittens""","""hat""","""chocolate""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""hat""","""mittens""","""cherry""","""null""","""null""","""null""","""middle""","""right""","""middle""","""null""","""null""","""null""","""1w0w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,2,Approved,Thu Jul 24 03:04:29 PDT 2014,Wed Jul 23 10:23:18 PDT 2014,Wed Jul 23 10:24:29 PDT 2014,Wed Jul 23 11:28:28 PDT 2014,,,,,"""sundae""","""whipped cream""",0,"""left""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Bob's sundaes and Christmas trees""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""sundae""","""sundae""","""Christmas tree""","""null""","""null""","""null""","""whipped cream""","""chocolate""","""ornaments""","""null""","""null""","""null""","""left""","""middle""","""middle""","""null""","""null""","""null""","""chocolate""","""whipped cream""","""lights""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""1w0w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,3,Approved,Thu Jul 24 03:04:55 PDT 2014,Wed Jul 23 10:24:10 PDT 2014,Wed Jul 23 10:24:55 PDT 2014,Wed Jul 23 11:28:28 PDT 2014,,,,,"""friend""","""hat""",0,"""middle""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Figuring out who was being talked about. ""","""I thought this was interesting""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""friend""","""friend""","""snowman""","""null""","""null""","""null""","""hat""","""glasses""","""hat""","""null""","""null""","""null""","""middle""","""left""","""middle""","""null""","""null""","""null""","""glasses""","""hat""","""scarf""","""null""","""null""","""null""","""left""","""middle""","""left""","""null""","""null""","""null""","""0w1w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,4,Approved,Thu Jul 24 03:05:23 PDT 2014,Wed Jul 23 10:24:31 PDT 2014,Wed Jul 23 10:25:23 PDT 2014,Wed Jul 23 11:28:29 PDT 2014,,,,,"""sundae""","""whipped cream""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""This survey was about communication and language.""","""No comments.""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""sundae""","""sundae""","""pizza""","""null""","""null""","""null""","""whipped cream""","""cherry""","""peppers""","""null""","""null""","""null""","""middle""","""right""","""right""","""null""","""null""","""null""","""cherry""","""whipped cream""","""olives""","""null""","""null""","""null""","""right""","""middle""","""middle""","""null""","""null""","""null""","""1w0w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,5,Approved,Thu Jul 24 03:05:27 PDT 2014,Wed Jul 23 10:24:04 PDT 2014,Wed Jul 23 10:25:27 PDT 2014,Wed Jul 23 11:28:29 PDT 2014,,,,,"""pizza""","""mushrooms""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""I have no idea""","""""",0,"""logical""","""target""","""logical""","""null""","""null""","""null""",FALSE,TRUE,FALSE,"""null""","""null""","""null""","""pizza""","""pizza""","""Christmas tree""","""null""","""null""","""null""","""mushrooms""","""olives""","""lights""","""null""","""null""","""null""","""left""","""right""","""right""","""null""","""null""","""null""","""olives""","""mushrooms""","""star""","""null""","""null""","""null""","""right""","""left""","""left""","""null""","""null""","""null""","""0w1w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,6,Approved,Thu Jul 24 03:05:41 PDT 2014,Wed Jul 23 10:23:23 PDT 2014,Wed Jul 23 10:25:41 PDT 2014,Wed Jul 23 11:28:29 PDT 2014,,,,,"""Christmas tree""","""lights""",0,"""left""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""words and stuff""","""no""",0,"""logical""","""target""","""target""","""null""","""null""","""null""",FALSE,TRUE,TRUE,"""null""","""null""","""null""","""Christmas tree""","""Christmas tree""","""sundae""","""null""","""null""","""null""","""lights""","""star""","""cherry""","""null""","""null""","""null""","""left""","""middle""","""middle""","""null""","""null""","""null""","""star""","""lights""","""whipped cream""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""1w0w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,7,Approved,Thu Jul 24 03:06:28 PDT 2014,Wed Jul 23 10:25:21 PDT 2014,Wed Jul 23 10:26:28 PDT 2014,Wed Jul 23 11:28:29 PDT 2014,,,,,"""sundae""","""chocolate""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""I do not know.""","""None""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""sundae""","""sundae""","""friend""","""null""","""null""","""null""","""chocolate""","""cherry""","""mustache""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""cherry""","""chocolate""","""glasses""","""null""","""null""","""null""","""middle""","""right""","""middle""","""null""","""null""","""null""","""0w1w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,8,Approved,Thu Jul 24 03:06:58 PDT 2014,Wed Jul 23 10:26:18 PDT 2014,Wed Jul 23 10:26:58 PDT 2014,Wed Jul 23 11:28:29 PDT 2014,,,,,"""snowman""","""mittens""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Unknown""","""""",0,"""target""","""logical""","""logical""","""null""","""null""","""null""",TRUE,FALSE,FALSE,"""null""","""null""","""null""","""snowman""","""snowman""","""sundae""","""null""","""null""","""null""","""mittens""","""scarf""","""chocolate""","""null""","""null""","""null""","""middle""","""right""","""right""","""null""","""null""","""null""","""scarf""","""mittens""","""cherry""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""0w1w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,9,Approved,Thu Jul 24 03:07:04 PDT 2014,Wed Jul 23 10:26:05 PDT 2014,Wed Jul 23 10:27:04 PDT 2014,Wed Jul 23 11:28:30 PDT 2014,,,,,"""Christmas tree""","""star""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Association""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""Christmas tree""","""Christmas tree""","""pizza""","""null""","""null""","""null""","""star""","""lights""","""mushrooms""","""null""","""null""","""null""","""right""","""left""","""left""","""null""","""null""","""null""","""lights""","""star""","""olives""","""null""","""null""","""null""","""left""","""right""","""right""","""null""","""null""","""null""","""1w0w1b"""
32TMVRKDGNYC0DZXH42RGP9W9R2844,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Wed Jul 23 10:22:11 PDT 2014,200,0,0,200,Reviewable,NotReviewed,1 scales,600,60000,Wed Jul 30 10:22:11 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=32TMVRKDGNYC0DZXH42RGP9W9R2844,,10,Approved,Thu Jul 24 03:07:16 PDT 2014,Wed Jul 23 10:26:17 PDT 2014,Wed Jul 23 10:27:16 PDT 2014,Wed Jul 23 11:28:30 PDT 2014,,,,,"""sundae""","""whipped cream""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""How people perceive what others are talking about""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""sundae""","""sundae""","""boat""","""null""","""null""","""null""","""whipped cream""","""cherry""","""motor""","""null""","""null""","""null""","""left""","""right""","""left""","""null""","""null""","""null""","""cherry""","""whipped cream""","""sail""","""null""","""null""","""null""","""right""","""left""","""right""","""null""","""null""","""null""","""0w1w1b"""
