hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.item,Answer.target_property,Answer.target_frequency,Answer.target_position,Answer.distractor_position,Answer.familiarization_cond,Answer.participant_response_type_condition,Answer.participant_feature_count_condition,Answer.linguistic_framing_condition,Answer.target_filler_sequence_condition,Answer.question_type_condition,Answer.manip_check_target,Answer.manip_check_dist,Answer.name_check_correct,Answer.choice,Answer.choice_correct,Answer.money_allocated_to_foil,Answer.money_allocated_to_target,Answer.money_allocated_to_logical,Answer.Likert_value_foil,Answer.Likert_value_target,Answer.Likert_value_logical,Answer.about,Answer.comment,Answer.familiarization_present_in_study,Answer.choice_1,Answer.choice_2,Answer.choice_3,Answer.choice_4,Answer.choice_5,Answer.choice_6,Answer.choice_correct_1,Answer.choice_correct_2,Answer.choice_correct_3,Answer.choice_correct_4,Answer.choice_correct_5,Answer.choice_correct_6,Answer.item_1,Answer.item_2,Answer.item_3,Answer.item_4,Answer.item_5,Answer.item_6,Answer.target_prop_1,Answer.target_prop_2,Answer.target_prop_3,Answer.target_prop_4,Answer.target_prop_5,Answer.target_prop_6,Answer.target_position_1,Answer.target_position_2,Answer.target_position_3,Answer.target_position_4,Answer.target_position_5,Answer.target_position_6,Answer.distractor_prop_1,Answer.distractor_prop_2,Answer.distractor_prop_3,Answer.distractor_prop_4,Answer.distractor_prop_5,Answer.distractor_prop_6,Answer.distractor_position_1,Answer.distractor_position_2,Answer.distractor_position_3,Answer.distractor_position_4,Answer.distractor_position_5,Answer.distractor_position_6,Answer.sequence_condition
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,1,Approved,Fri Aug 08 08:48:48 PDT 2014,Thu Aug 07 16:08:12 PDT 2014,Thu Aug 07 16:08:48 PDT 2014,Thu Aug 07 17:08:42 PDT 2014,,,,,"""friend""","""hat""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""identify what is being referred to""","""""",0,"""logical""","""target""","""target""","""null""","""null""","""null""",FALSE,TRUE,TRUE,"""null""","""null""","""null""","""friend""","""friend""","""friend""","""null""","""null""","""null""","""hat""","""glasses""","""mustache""","""null""","""null""","""null""","""right""","""left""","""middle""","""null""","""null""","""null""","""mustache""","""hat""","""glasses""","""null""","""null""","""null""","""middle""","""right""","""left""","""null""","""null""","""null""","""2w1w0w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,2,Approved,Fri Aug 08 08:50:53 PDT 2014,Thu Aug 07 16:08:58 PDT 2014,Thu Aug 07 16:10:53 PDT 2014,Thu Aug 07 17:08:42 PDT 2014,,,,,"""friend""","""glasses""",0,"""middle""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""friends""","""""",0,"""logical""","""target""","""target""","""null""","""null""","""null""",FALSE,TRUE,TRUE,"""null""","""null""","""null""","""friend""","""friend""","""friend""","""null""","""null""","""null""","""glasses""","""hat""","""mustache""","""null""","""null""","""null""","""middle""","""right""","""left""","""null""","""null""","""null""","""mustache""","""glasses""","""hat""","""null""","""null""","""null""","""left""","""middle""","""right""","""null""","""null""","""null""","""2w1w0w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,3,Approved,Fri Aug 08 08:51:04 PDT 2014,Thu Aug 07 16:09:52 PDT 2014,Thu Aug 07 16:11:04 PDT 2014,Thu Aug 07 17:08:42 PDT 2014,,,,,"""boat""","""cabin""",0,"""middle""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Bob's descriptions of the sailboats he has rented.""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""boat""","""boat""","""boat""","""null""","""null""","""null""","""cabin""","""sail""","""motor""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""sail""","""motor""","""cabin""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""0w1w2w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,4,Approved,Fri Aug 08 08:51:29 PDT 2014,Thu Aug 07 16:10:43 PDT 2014,Thu Aug 07 16:11:29 PDT 2014,Thu Aug 07 17:08:42 PDT 2014,,,,,"""friend""","""hat""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Bobs friends""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""friend""","""friend""","""friend""","""null""","""null""","""null""","""hat""","""mustache""","""glasses""","""null""","""null""","""null""","""right""","""left""","""middle""","""null""","""null""","""null""","""mustache""","""glasses""","""hat""","""null""","""null""","""null""","""left""","""middle""","""right""","""null""","""null""","""null""","""0w1w2w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,5,Approved,Fri Aug 08 08:52:14 PDT 2014,Thu Aug 07 16:09:56 PDT 2014,Thu Aug 07 16:12:14 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""boat""","""motor""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""language""","""""",0,"""foil""","""logical""","""target""","""null""","""null""","""null""",FALSE,FALSE,TRUE,"""null""","""null""","""null""","""boat""","""boat""","""boat""","""null""","""null""","""null""","""motor""","""cabin""","""sail""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""cabin""","""sail""","""motor""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""0w1w2w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,6,Approved,Fri Aug 08 08:53:03 PDT 2014,Thu Aug 07 16:12:08 PDT 2014,Thu Aug 07 16:13:03 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""snowman""","""scarf""",0,"""left""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Word comprehension.""","""Nope!""",0,"""target""","""logical""","""target""","""null""","""null""","""null""",TRUE,FALSE,TRUE,"""null""","""null""","""null""","""snowman""","""snowman""","""snowman""","""null""","""null""","""null""","""scarf""","""hat""","""mittens""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""mittens""","""scarf""","""hat""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""2w1w0w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,7,Approved,Fri Aug 08 08:53:26 PDT 2014,Thu Aug 07 16:12:33 PDT 2014,Thu Aug 07 16:13:26 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""boat""","""motor""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""if one can determine what another person is talking about by saying one word.""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""boat""","""boat""","""boat""","""null""","""null""","""null""","""motor""","""sail""","""cabin""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""sail""","""cabin""","""motor""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""0w1w2w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,8,Approved,Fri Aug 08 08:54:54 PDT 2014,Thu Aug 07 16:13:42 PDT 2014,Thu Aug 07 16:14:54 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""snowman""","""scarf""",0,"""left""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""snowmen""","""""",0,"""target""","""target""","""target""","""null""","""null""","""null""",TRUE,TRUE,TRUE,"""null""","""null""","""null""","""snowman""","""snowman""","""snowman""","""null""","""null""","""null""","""scarf""","""mittens""","""hat""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""hat""","""scarf""","""mittens""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""2w1w0w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,9,Approved,Fri Aug 08 08:54:54 PDT 2014,Thu Aug 07 16:12:59 PDT 2014,Thu Aug 07 16:14:54 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""pizza""","""mushrooms""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""What we think bob is talking about.""","""""",0,"""target""","""target""","""logical""","""null""","""null""","""null""",TRUE,TRUE,FALSE,"""null""","""null""","""null""","""pizza""","""pizza""","""pizza""","""null""","""null""","""null""","""mushrooms""","""olives""","""peppers""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""olives""","""peppers""","""mushrooms""","""null""","""null""","""null""","""middle""","""left""","""right""","""null""","""null""","""null""","""0w1w2w"""
3VCK0Q0PO5EG4W404548MJ9EIOUN0T,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Thu Aug 07 16:07:29 PDT 2014,100,0,0,100,Reviewable,NotReviewed,1 scales,600,60000,Thu Aug 14 16:07:29 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3VCK0Q0PO5EG4W404548MJ9EIOUN0T,,10,Approved,Fri Aug 08 08:55:20 PDT 2014,Thu Aug 07 16:08:50 PDT 2014,Thu Aug 07 16:15:20 PDT 2014,Thu Aug 07 17:08:43 PDT 2014,,,,,"""boat""","""sail""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Determine the best option given one word.""","""N/A""",0,"""logical""","""logical""","""target""","""null""","""null""","""null""",FALSE,FALSE,TRUE,"""null""","""null""","""null""","""boat""","""boat""","""boat""","""null""","""null""","""null""","""sail""","""cabin""","""motor""","""null""","""null""","""null""","""right""","""middle""","""left""","""null""","""null""","""null""","""motor""","""sail""","""cabin""","""null""","""null""","""null""","""left""","""right""","""middle""","""null""","""null""","""null""","""2w1w0w"""
