hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.item,Answer.target_property,Answer.target_frequency,Answer.target_position,Answer.distractor_position,Answer.familiarization_cond,Answer.participant_response_type_condition,Answer.participant_feature_count_condition,Answer.linguistic_framing_condition,Answer.target_filler_sequence_condition,Answer.question_type_condition,Answer.manip_check_target,Answer.manip_check_dist,Answer.name_check_correct,Answer.choice,Answer.choice_correct,Answer.money_allocated_to_foil,Answer.money_allocated_to_target,Answer.money_allocated_to_logical,Answer.Likert_value_foil,Answer.Likert_value_target,Answer.Likert_value_logical,Answer.about,Answer.comment,Answer.familiarization_present_in_study,Answer.choice_1,Answer.choice_2,Answer.choice_3,Answer.choice_4,Answer.choice_5,Answer.choice_6,Answer.choice_correct_1,Answer.choice_correct_2,Answer.choice_correct_3,Answer.choice_correct_4,Answer.choice_correct_5,Answer.choice_correct_6,Answer.item_1,Answer.item_2,Answer.item_3,Answer.item_4,Answer.item_5,Answer.item_6,Answer.target_prop_1,Answer.target_prop_2,Answer.target_prop_3,Answer.target_prop_4,Answer.target_prop_5,Answer.target_prop_6,Answer.target_position_1,Answer.target_position_2,Answer.target_position_3,Answer.target_position_4,Answer.target_position_5,Answer.target_position_6,Answer.distractor_prop_1,Answer.distractor_prop_2,Answer.distractor_prop_3,Answer.distractor_prop_4,Answer.distractor_prop_5,Answer.distractor_prop_6,Answer.distractor_position_1,Answer.distractor_position_2,Answer.distractor_position_3,Answer.distractor_position_4,Answer.distractor_position_5,Answer.distractor_position_6,Answer.sequence_condition
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,1,Approved,Mon Aug 04 07:37:36 PDT 2014,Sun Aug 03 14:55:58 PDT 2014,Sun Aug 03 14:57:36 PDT 2014,Sun Aug 03 17:43:20 PDT 2014,,,,,"""pizza""","""mushrooms""",0,"""middle""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""to determine what pizza bob was talking about with just one word""","""thank you""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""pizza""","""pizza""","""pizza""","""pizza""","""pizza""","""pizza""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""middle""","""right""","""middle""","""right""","""middle""","""right""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""right""","""middle""","""right""","""middle""","""right""","""middle""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,2,Approved,Mon Aug 04 07:38:02 PDT 2014,Sun Aug 03 14:56:15 PDT 2014,Sun Aug 03 14:58:02 PDT 2014,Sun Aug 03 17:43:21 PDT 2014,,,,,"""sundae""","""whipped cream""",0,"""middle""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Understanding what Bob was communicating with one word""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""sundae""","""sundae""","""sundae""","""sundae""","""sundae""","""sundae""","""whipped cream""","""chocolate""","""whipped cream""","""chocolate""","""whipped cream""","""chocolate""","""middle""","""left""","""middle""","""left""","""middle""","""left""","""chocolate""","""whipped cream""","""chocolate""","""whipped cream""","""chocolate""","""whipped cream""","""left""","""middle""","""left""","""middle""","""left""","""middle""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,3,Approved,Mon Aug 04 07:38:09 PDT 2014,Sun Aug 03 14:56:36 PDT 2014,Sun Aug 03 14:58:09 PDT 2014,Sun Aug 03 17:43:21 PDT 2014,,,,,"""Christmas tree""","""lights""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Bob can only say one word about his passion...christmas trees""","""does bob not like plain christmas trees?""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""Christmas tree""","""Christmas tree""","""Christmas tree""","""Christmas tree""","""Christmas tree""","""Christmas tree""","""lights""","""ornaments""","""lights""","""ornaments""","""lights""","""ornaments""","""right""","""left""","""right""","""left""","""right""","""left""","""ornaments""","""lights""","""ornaments""","""lights""","""ornaments""","""lights""","""left""","""right""","""left""","""right""","""left""","""right""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,4,Approved,Mon Aug 04 07:38:20 PDT 2014,Sun Aug 03 14:56:06 PDT 2014,Sun Aug 03 14:58:20 PDT 2014,Sun Aug 03 17:43:21 PDT 2014,,,,,"""boat""","""sail""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""No idea""","""None""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""boat""","""boat""","""boat""","""boat""","""sail""","""cabin""","""sail""","""cabin""","""sail""","""cabin""","""right""","""left""","""right""","""left""","""right""","""left""","""cabin""","""sail""","""cabin""","""sail""","""cabin""","""sail""","""left""","""right""","""left""","""right""","""left""","""right""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,5,Approved,Mon Aug 04 07:38:35 PDT 2014,Sun Aug 03 14:57:09 PDT 2014,Sun Aug 03 14:58:35 PDT 2014,Sun Aug 03 17:43:21 PDT 2014,,,,,"""boat""","""sail""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""sail boats""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""boat""","""boat""","""boat""","""boat""","""sail""","""motor""","""sail""","""motor""","""sail""","""motor""","""left""","""right""","""left""","""right""","""left""","""right""","""motor""","""sail""","""motor""","""sail""","""motor""","""sail""","""right""","""left""","""right""","""left""","""right""","""left""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,6,Approved,Mon Aug 04 07:38:37 PDT 2014,Sun Aug 03 14:56:44 PDT 2014,Sun Aug 03 14:58:37 PDT 2014,Sun Aug 03 17:43:22 PDT 2014,,,,,"""boat""","""motor""",0,"""middle""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Language and communication...or boats.""","""None, thank you.""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""boat""","""boat""","""boat""","""boat""","""motor""","""sail""","""motor""","""sail""","""motor""","""sail""","""middle""","""left""","""middle""","""left""","""middle""","""left""","""sail""","""motor""","""sail""","""motor""","""sail""","""motor""","""left""","""middle""","""left""","""middle""","""left""","""middle""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,7,Approved,Mon Aug 04 07:38:47 PDT 2014,Sun Aug 03 14:57:03 PDT 2014,Sun Aug 03 14:58:47 PDT 2014,Sun Aug 03 17:43:22 PDT 2014,,,,,"""snowman""","""scarf""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""interpreting communication""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""snowman""","""snowman""","""snowman""","""snowman""","""snowman""","""snowman""","""scarf""","""mittens""","""scarf""","""mittens""","""scarf""","""mittens""","""left""","""right""","""left""","""right""","""left""","""right""","""mittens""","""scarf""","""mittens""","""scarf""","""mittens""","""scarf""","""right""","""left""","""right""","""left""","""right""","""left""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,8,Approved,Mon Aug 04 07:38:59 PDT 2014,Sun Aug 03 14:57:15 PDT 2014,Sun Aug 03 14:58:59 PDT 2014,Sun Aug 03 17:43:22 PDT 2014,,,,,"""friend""","""glasses""",0,"""right""","""left""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""seeing if you can determine who someone is talking about by using one descriptive word""","""no""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""friend""","""friend""","""friend""","""friend""","""friend""","""friend""","""glasses""","""mustache""","""glasses""","""mustache""","""glasses""","""mustache""","""right""","""left""","""right""","""left""","""right""","""left""","""mustache""","""glasses""","""mustache""","""glasses""","""mustache""","""glasses""","""left""","""right""","""left""","""right""","""left""","""right""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,9,Approved,Mon Aug 04 07:38:59 PDT 2014,Sun Aug 03 14:57:56 PDT 2014,Sun Aug 03 14:58:59 PDT 2014,Sun Aug 03 17:43:22 PDT 2014,,,,,"""boat""","""cabin""",0,"""right""","""middle""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Sail boats""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""boat""","""boat""","""boat""","""boat""","""boat""","""boat""","""cabin""","""sail""","""cabin""","""sail""","""cabin""","""sail""","""right""","""middle""","""right""","""middle""","""right""","""middle""","""sail""","""cabin""","""sail""","""cabin""","""sail""","""cabin""","""middle""","""right""","""middle""","""right""","""middle""","""right""","""(0w1w)x3"""
3R0WOCG21M9NY6P3DI4PFLLRK43UDI,3LJ9P5KQ15GVMWDO317A8Q2HQ16YTX,What is he talking about? (1-2 mins),Short and fun! A 1-2 minute word game about what someone is talking about.,"experiment, psychology, game",$0.25 ,Sun Aug 03 14:55:23 PDT 2014,50,0,0,50,Reviewable,NotReviewed,1 scales,600,60000,Sun Aug 10 14:55:23 PDT 2014,https://requester.mturk.com/mturk/manageHIT?HITId=3R0WOCG21M9NY6P3DI4PFLLRK43UDI,,10,Approved,Mon Aug 04 07:39:15 PDT 2014,Sun Aug 03 14:58:10 PDT 2014,Sun Aug 03 14:59:15 PDT 2014,Sun Aug 03 17:43:22 PDT 2014,,,,,"""pizza""","""peppers""",0,"""left""","""right""",-1,0,0,1,0,0,-1,-1,"""TRUE""","""null""","""null""",-1,-1,-1,-1,-1,-1,"""Pizzas""","""""",0,"""target""","""target""","""target""","""target""","""target""","""target""",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"""pizza""","""pizza""","""pizza""","""pizza""","""pizza""","""pizza""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""left""","""right""","""left""","""right""","""left""","""right""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""mushrooms""","""peppers""","""right""","""left""","""right""","""left""","""right""","""left""","""(0w1w)x3"""
